Timestamp,Boss_Action,Target_Player,Damage
01:49.356,Doro-no-shiki Explosion,Rai Atramenta,29862
01:53.807,Numa-no-shiki Explosion,Brika Lerdving,34172
01:53.941,Numa-no-shiki Explosion,Frey Reinhart,67351
01:54.075,Numa-no-shiki Explosion,Lo'de Hanada,44753
01:54.209,Numa-no-shiki Explosion,Calico Reinhart,73844
01:54.343,Numa-no-shiki Explosion,Resine Reinhart,70806
01:54.475,Numa-no-shiki Explosion,Rai Atramenta,69477
01:54.609,Numa-no-shiki Explosion,Fio Imai,70025
01:54.743,Numa-no-shiki Explosion,Baudouin Anjou,67858
02:01.783,Doro-no-shiki Explosion,Brika Lerdving,18141
02:01.917,Doro-no-shiki Explosion,Resine Reinhart,17969
02:02.049,Doro-no-shiki Explosion,Frey Reinhart,17432
02:02.182,Doro-no-shiki Explosion,Calico Reinhart,18558
02:02.317,Doro-no-shiki Explosion,Lo'de Hanada,18857
02:02.450,Doro-no-shiki Explosion,Rai Atramenta,18038
02:02.584,Doro-no-shiki Explosion,Fio Imai,18295
02:02.718,Doro-no-shiki Explosion,Baudouin Anjou,18377
02:04.233,Doro-no-shiki Explosion,Frey Reinhart,19953
02:04.501,Doro-no-shiki Explosion,Brika Lerdving,9577
02:04.635,Doro-no-shiki Explosion,Resine Reinhart,22045
02:04.769,Doro-no-shiki Explosion,Calico Reinhart,20109
02:04.902,Doro-no-shiki Explosion,Rai Atramenta,19972
02:05.036,Doro-no-shiki Explosion,Fio Imai,18439
02:05.170,Doro-no-shiki Explosion,Baudouin Anjou,18683
02:06.596,Doro-no-shiki Explosion,Frey Reinhart,16171
02:06.730,Doro-no-shiki Explosion,Brika Lerdving,13140
02:06.864,Doro-no-shiki Explosion,Calico Reinhart,27548
02:06.996,Doro-no-shiki Explosion,Rai Atramenta,17327
02:07.132,Doro-no-shiki Explosion,Resine Reinhart,11321
02:07.266,Doro-no-shiki Explosion,Lo'de Hanada,17840
02:07.400,Doro-no-shiki Explosion,Fio Imai,25259
02:07.534,Doro-no-shiki Explosion,Baudouin Anjou,25593
02:27.317,Doro-no-shiki Explosion,Resine Reinhart,27215
02:27.451,Doro-no-shiki Explosion,Frey Reinhart,19953
02:27.584,Doro-no-shiki Explosion,Lo'de Hanada,17804
02:27.718,Doro-no-shiki Explosion,Fio Imai,25258
02:27.853,Doro-no-shiki Explosion,Calico Reinhart,23415
02:27.987,Doro-no-shiki Explosion,Rai Atramenta,23255
02:28.120,Doro-no-shiki Explosion,Baudouin Anjou,25592
02:28.923,Numa-no-shiki Explosion,Frey Reinhart,64839
02:29.057,Numa-no-shiki Explosion,Resine Reinhart,73067
02:29.190,Numa-no-shiki Explosion,Lo'de Hanada,44495
02:29.326,Numa-no-shiki Explosion,Brika Lerdving,58105
02:29.459,Numa-no-shiki Explosion,Fio Imai,69144
02:29.593,Numa-no-shiki Explosion,Calico Reinhart,71005
02:29.725,Numa-no-shiki Explosion,Rai Atramenta,69479
02:29.858,Numa-no-shiki Explosion,Baudouin Anjou,67858
02:29.903,Doro-no-shiki Explosion,Lo'de Hanada,18513
02:30.035,Doro-no-shiki Explosion,Resine Reinhart,28411
02:30.079,Doro-no-shiki Explosion,Resine Reinhart,29470
02:30.170,Doro-no-shiki Explosion,Frey Reinhart,22170
02:30.213,Doro-no-shiki Explosion,Brika Lerdving,13121
02:30.302,Doro-no-shiki Explosion,Calico Reinhart,29528
02:30.348,Doro-no-shiki Explosion,Frey Reinhart,24945
02:30.437,Doro-no-shiki Explosion,Fio Imai,26641
02:30.482,Doro-no-shiki Explosion,Lo'de Hanada,18209
02:30.572,Doro-no-shiki Explosion,Rai Atramenta,28435
02:30.617,Doro-no-shiki Explosion,Calico Reinhart,29038
02:30.706,Doro-no-shiki Explosion,Baudouin Anjou,28064
02:30.750,Doro-no-shiki Explosion,Fio Imai,26659
02:30.884,Doro-no-shiki Explosion,Rai Atramenta,29312
02:31.016,Doro-no-shiki Explosion,Baudouin Anjou,25916
03:03.771,Dragon's Wake,Lo'de Hanada,67192
03:03.904,Dragon's Wake,Brika Lerdving,67058
03:04.038,Dragon's Wake,Rai Atramenta,113017
03:04.173,Dragon's Wake,Resine Reinhart,110940
03:04.305,Dragon's Wake,Calico Reinhart,111710
03:04.439,Dragon's Wake,Frey Reinhart,104179
03:04.572,Dragon's Wake,Fio Imai,98450
03:04.706,Dragon's Wake,Baudouin Anjou,101839
03:25.156,Coursing River,Brika Lerdving,10817
03:25.288,Coursing River,Lo'de Hanada,11122
03:25.423,Coursing River,Fio Imai,16041
03:25.555,Coursing River,Resine Reinhart,16416
03:25.689,Coursing River,Calico Reinhart,17805
03:25.824,Coursing River,Baudouin Anjou,16091
03:25.956,Coursing River,Frey Reinhart,15639
03:26.089,Coursing River,Rai Atramenta,16606
03:44.343,Fifth Element,Lo'de Hanada,33493
03:44.475,Fifth Element,Frey Reinhart,52566
03:44.608,Fifth Element,Resine Reinhart,56738
03:44.742,Fifth Element,Brika Lerdving,36430
03:44.875,Fifth Element,Calico Reinhart,56002
03:45.009,Fifth Element,Fio Imai,55138
03:45.141,Fifth Element,Baudouin Anjou,50530
03:45.276,Fifth Element,Rai Atramenta,54756
04:04.038,Force of Nature,Lo'de Hanada,2726
04:04.173,Force of Nature,Fio Imai,4301
04:04.307,Force of Nature,Rai Atramenta,4383
04:04.440,Force of Nature,Resine Reinhart,4357
04:04.574,Force of Nature,Frey Reinhart,4025
04:04.706,Force of Nature,Baudouin Anjou,4150
04:04.841,Force of Nature,Brika Lerdving,2853
04:04.973,Force of Nature,Calico Reinhart,4534
04:06.175,Coursing River,Resine Reinhart,16416
04:06.310,Coursing River,Brika Lerdving,10484
04:06.444,Coursing River,Baudouin Anjou,16091
04:06.579,Coursing River,Lo'de Hanada,11260
04:06.711,Coursing River,Fio Imai,16041
04:06.845,Coursing River,Frey Reinhart,15639
04:06.978,Coursing River,Calico Reinhart,17805
04:07.112,Coursing River,Rai Atramenta,16606
04:12.588,Forbidden Arts,Resine Reinhart,57332
04:12.721,Forbidden Arts,Lo'de Hanada,37531
04:12.855,Forbidden Arts,Brika Lerdving,37633
04:12.988,Forbidden Arts,Frey Reinhart,52767
04:13.122,Forbidden Arts,Fio Imai,53108
04:14.682,Forbidden Arts,Resine Reinhart,37084
04:14.817,Forbidden Arts,Brika Lerdving,6738
04:15.084,Forbidden Arts,Frey Reinhart,32561
04:15.218,Forbidden Arts,Baudouin Anjou,15876
04:15.351,Forbidden Arts,Calico Reinhart,15948
04:15.485,Forbidden Arts,Rai Atramenta,16574
04:15.618,Forbidden Arts,Fio Imai,32897
04:44.133,Serpent-eye Sigil,Fio Imai,78090
05:00.081,Fortune-blade Sigil,Baudouin Anjou,81651
05:18.471,Fifth Element,Baudouin Anjou,63452
05:18.605,Fifth Element,Brika Lerdving,40666
05:18.739,Fifth Element,Lo'de Hanada,40218
05:18.872,Fifth Element,Resine Reinhart,64405
05:19.006,Fifth Element,Calico Reinhart,60419
05:19.139,Fifth Element,Frey Reinhart,55886
05:19.273,Fifth Element,Rai Atramenta,59012
05:19.407,Fifth Element,Fio Imai,66217
05:40.401,Serpent Descending,Frey Reinhart,57132
05:40.401,Serpent Descending,Fio Imai,69286
05:40.401,Serpent Descending,Lo'de Hanada,38989
05:40.401,Serpent Descending,Brika Lerdving,40949
05:42.542,Serpent's Fang,Resine Reinhart,6637
05:42.542,Serpent's Fang,Rai Atramenta,7035
05:42.542,Serpent's Fang,Baudouin Anjou,7583
05:42.542,Serpent's Fang,Calico Reinhart,7139
05:50.204,Forbidden Arts,Lo'de Hanada,27119
05:50.338,Forbidden Arts,Frey Reinhart,80176
05:50.472,Forbidden Arts,Calico Reinhart,91693
05:52.427,Forbidden Arts,Brika Lerdving,7543
05:52.562,Forbidden Arts,Resine Reinhart,67945
05:52.694,Forbidden Arts,Rai Atramenta,80829
05:52.828,Forbidden Arts,Fio Imai,75159
05:59.458,Fifth Element,Brika Lerdving,43084
05:59.591,Fifth Element,Lo'de Hanada,40780
05:59.723,Fifth Element,Calico Reinhart,60626
05:59.857,Fifth Element,Frey Reinhart,56233
05:59.990,Fifth Element,Resine Reinhart,59780
06:00.125,Fifth Element,Fio Imai,56926
06:00.258,Fifth Element,Rai Atramenta,59724
06:00.391,Fifth Element,Baudouin Anjou,69153
06:18.490,Karmic Curse,Brika Lerdving,6015
06:18.758,Karmic Curse,Calico Reinhart,12270
06:18.891,Karmic Curse,Resine Reinhart,12175
06:19.026,Karmic Curse,Fio Imai,10690
06:19.158,Karmic Curse,Rai Atramenta,12059
06:19.292,Karmic Curse,Frey Reinhart,11370
06:19.425,Karmic Curse,Baudouin Anjou,11265
06:28.045,Infirm Soul,Brika Lerdving,198138
06:31.694,Karmic Curse,Lo'de Hanada,3189
06:31.829,Karmic Curse,Calico Reinhart,11711
06:31.961,Karmic Curse,Frey Reinhart,10700
06:32.096,Karmic Curse,Brika Lerdving,7844
06:32.229,Karmic Curse,Resine Reinhart,11892
06:32.362,Karmic Curse,Rai Atramenta,11666
06:32.496,Karmic Curse,Fio Imai,11555
06:32.629,Karmic Curse,Baudouin Anjou,11176
06:34.098,Fifth Element,Brika Lerdving,39580
06:34.230,Fifth Element,Calico Reinhart,60332
06:34.365,Fifth Element,Lo'de Hanada,23342
06:34.499,Fifth Element,Resine Reinhart,58693
06:34.632,Fifth Element,Fio Imai,57776
06:34.764,Fifth Element,Frey Reinhart,55514
06:34.898,Fifth Element,Rai Atramenta,63592
06:35.032,Fifth Element,Baudouin Anjou,58513
06:59.742,Onmyo Sigil,Brika Lerdving,56675
07:08.860,Iwa-no-shiki Kanabo,Brika Lerdving,111906
07:08.903,Iwa-no-shiki Kanabo,Lo'de Hanada,107475
07:19.000,Blue Bolt,Lo'de Hanada,64704
07:19.088,Red Rush,Calico Reinhart,37733
07:19.088,Red Rush,Resine Reinhart,39051
07:19.133,Blue Bolt,Fio Imai,74512
07:19.266,Blue Bolt,Frey Reinhart,70672
07:19.399,Blue Bolt,Rai Atramenta,72301
07:19.533,Blue Bolt,Baudouin Anjou,70188
07:19.667,Blue Bolt,Brika Lerdving,55836
07:25.798,Serpent Descending,Baudouin Anjou,59661
07:25.798,Serpent Descending,Frey Reinhart,57500
07:25.798,Serpent Descending,Lo'de Hanada,40463
07:25.798,Serpent Descending,Rai Atramenta,64122
07:33.400,Yama-no-shiki Handprint,Brika Lerdving,56019
07:33.533,Yama-no-shiki Handprint,Baudouin Anjou,79197
07:39.095,Fifth Element,Brika Lerdving,44404
07:39.230,Fifth Element,Calico Reinhart,58828
07:39.362,Fifth Element,Lo'de Hanada,37970
07:39.497,Fifth Element,Frey Reinhart,57591
07:39.629,Fifth Element,Resine Reinhart,62482
07:39.764,Fifth Element,Fio Imai,59240
07:39.896,Fifth Element,Rai Atramenta,63860
07:40.030,Fifth Element,Baudouin Anjou,59428
07:57.975,Force of Nature,Rai Atramenta,4496
07:58.110,Force of Nature,Fio Imai,4205
07:58.245,Force of Nature,Calico Reinhart,4466
07:58.377,Force of Nature,Resine Reinhart,4288
07:58.514,Force of Nature,Lo'de Hanada,2738
07:58.646,Force of Nature,Baudouin Anjou,4350
07:58.781,Force of Nature,Brika Lerdving,3280
07:58.915,Force of Nature,Frey Reinhart,4386
08:00.920,Coursing River,Brika Lerdving,11150
08:01.054,Coursing River,Calico Reinhart,16025
08:01.189,Coursing River,Resine Reinhart,14775
08:01.322,Coursing River,Fio Imai,14437
08:01.455,Coursing River,Baudouin Anjou,14482
08:01.590,Coursing River,Lo'de Hanada,10010
08:01.725,Coursing River,Frey Reinhart,14076
08:01.858,Coursing River,Rai Atramenta,14946
08:03.509,Great Typhoon,Brika Lerdving,6420
08:10.198,Onmyo Sigil,Brika Lerdving,65059
08:10.331,Onmyo Sigil,Baudouin Anjou,82076
08:15.985,Yama-no-shiki Handprint,Calico Reinhart,78587
08:16.120,Yama-no-shiki Handprint,Fio Imai,87232
08:40.591,Force of Nature,Baudouin Anjou,4888
08:40.723,Force of Nature,Rai Atramenta,4440
08:40.858,Force of Nature,Resine Reinhart,4323
08:40.993,Force of Nature,Lo'de Hanada,2732
08:41.125,Force of Nature,Fio Imai,4253
08:41.263,Force of Nature,Frey Reinhart,4206
08:41.394,Force of Nature,Brika Lerdving,2996
08:41.527,Force of Nature,Calico Reinhart,4500
08:44.018,Coursing River,Brika Lerdving,12656
08:44.151,Coursing River,Resine Reinhart,16909
08:44.284,Coursing River,Baudouin Anjou,18842
08:44.417,Coursing River,Calico Reinhart,17805
08:44.683,Coursing River,Lo'de Hanada,10984
08:44.817,Coursing River,Frey Reinhart,15428
08:44.950,Coursing River,Rai Atramenta,16724
08:51.798,Forbidden Arts,Baudouin Anjou,69683
08:51.932,Forbidden Arts,Brika Lerdving,54379
08:52.067,Forbidden Arts,Calico Reinhart,58637
08:52.201,Forbidden Arts,Lo'de Hanada,39671
08:52.336,Forbidden Arts,Frey Reinhart,56697
08:53.990,Forbidden Arts,Fio Imai,126993
08:54.121,Forbidden Arts,Resine Reinhart,104773
08:54.257,Forbidden Arts,Rai Atramenta,106099
09:01.029,Fifth Element,Lo'de Hanada,40041
09:01.163,Fifth Element,Calico Reinhart,64261
09:01.297,Fifth Element,Brika Lerdving,32303
09:01.431,Fifth Element,Resine Reinhart,59079
09:01.563,Fifth Element,Baudouin Anjou,69575
09:01.697,Fifth Element,Frey Reinhart,55249
09:01.832,Fifth Element,Fio Imai,58259
09:01.965,Fifth Element,Rai Atramenta,58667
09:21.422,Infirm Soul,Lo'de Hanada,202697
09:25.115,Karmic Curse,Brika Lerdving,6015
09:25.249,Karmic Curse,Lo'de Hanada,7265
09:25.383,Karmic Curse,Calico Reinhart,11707
09:25.515,Karmic Curse,Resine Reinhart,11368
09:25.649,Karmic Curse,Frey Reinhart,11331
09:25.782,Karmic Curse,Fio Imai,10591
09:25.916,Karmic Curse,Rai Atramenta,11992
09:26.048,Karmic Curse,Baudouin Anjou,11141
09:34.744,Infirm Soul,Brika Lerdving,185149
09:38.398,Karmic Curse,Lo'de Hanada,7375
09:38.529,Karmic Curse,Brika Lerdving,7775
09:38.663,Karmic Curse,Frey Reinhart,11238
09:38.796,Karmic Curse,Calico Reinhart,11815
09:38.931,Karmic Curse,Resine Reinhart,12281
09:39.063,Karmic Curse,Fio Imai,11684
09:39.197,Karmic Curse,Rai Atramenta,11821
09:39.331,Karmic Curse,Baudouin Anjou,10904
09:40.802,Fifth Element,Calico Reinhart,59460
09:40.936,Fifth Element,Brika Lerdving,38126
09:41.070,Fifth Element,Lo'de Hanada,39223
09:41.205,Fifth Element,Resine Reinhart,60729
09:41.340,Fifth Element,Fio Imai,60570
09:41.474,Fifth Element,Frey Reinhart,57040
09:41.608,Fifth Element,Rai Atramenta,64588
09:41.741,Fifth Element,Baudouin Anjou,57515
